title,shortname,doi,publisher,type,first_publication,last_publication,update_freq,uuid,occ_count
"TestWat - Macroinvertebrates and macrophytes of freshwater bodies in Flanders, Belgium",testwat-occurrences,https://doi.org/10.15468/xzpcvv,INBO,occurrence,2011-08-17,2016-09-14,daily,66178162-01dc-4133-9b3c-83265481c383,6278
Florabank1 - A grid-based database on vascular plant distribution in the northern part of Belgium (Flanders and the Brussels Capital region),florabank1-occurrences,https://doi.org/10.3897/phytokeys.12.2849,INBO,occurrence,2011-08-18,2019-03-08,biannually,271c444f-f8d8-4986-b748-e7367755c0c1,4166594
Belgian Coccinellidae - Ladybird beetles in Belgium,belgian-coccinellidae-occurrences,https://doi.org/10.15468/0refva,INBO,occurrence,2012-06-05,2016-09-14,not_planned,42319b8f-9b9d-448d-969f-656792a69176,72185
Trekvis - Migratory fishes in the river Scheldt,trekvis-occurrences,https://doi.org/10.15468/j9tj7x,INBO,occurrence,2012-07-19,2016-05-24,,b2d0f29e-4614-4001-93c8-f651878a86d2,14741
"Visherintroductie - Reintroduction of the fishes chub, dace, burbot, and brown trout in Flanders, Belgium",visherintroductie-occurrences,https://doi.org/10.15468/dlglrp,INBO,occurrence,2012-09-27,2015-10-20,,45157d5f-7eb9-42b8-8d70-66482fdd912f,3594
"Visdoorgangen - Fish passage places in Flanders, Belgium",visdoorgangen-occurrences,https://doi.org/10.15468/92ylpd,INBO,occurrence,2012-10-03,2015-09-14,,5d637678-cb64-4863-a12b-78b4e1a56628,16572
"Visfauna - Juvenile and adult fishes in riparian habitats along the river Yser in Flanders, Belgium",visfauna-ijzer-occurrences,https://doi.org/10.15468/keplkx,INBO,occurrence,2013-01-10,2015-10-21,,0ac24b3c-feb9-48d5-bf02-da4a103f024e,5824
Glasaalmigratie - Glass eel migration in the river Yser,glasaalmigratie-occurrences,https://doi.org/10.15468/cynpxv,INBO,occurrence,2013-01-10,2015-09-14,,67fa6403-d5c3-401b-b35d-ec70538ea41d,1171
"Visfauna - Juvenile and adult fishes in riparian habitats along the river Leie in Flanders, Belgium",visfauna-leie-occurrences,https://doi.org/10.15468/2wrvbz,INBO,occurrence,2013-01-10,2015-10-21,not_planned,08a4ed1f-8586-4437-b3c9-95989eb40fd4,477
"Depletion fishing in the rivers Grote Nete and Kleine Nete in Flanders, Belgium",depletion-fishing-nete-occurrences,https://doi.org/10.15468/zan6uj,INBO,occurrence,2013-05-05,2016-09-14,not_planned,40e9743f-8db3-4732-8c85-c4ca96596409,1652
"Loopkevers Grensmaas - Ground beetles near the river Meuse in Flanders, Belgium",kevers-grensmaas-occurrences,https://doi.org/10.15468/hy3pzl,INBO,occurrence,2013-06-18,2015-10-20,,f4230399-51b8-4862-8991-93d6ba11406f,5860
Saltabel - Orthoptera in Belgium,saltabel-occurrences,https://doi.org/10.15468/1rcpsq,INBO,occurrence,2013-09-12,2015-09-14,,76cc7230-76b6-4763-9caf-22626b29c0a6,46834
"VIS - Fishes in inland waters in Flanders, Belgium",vis-inland-occurrences,https://doi.org/10.15468/gzyxyd,INBO,occurrence,2013-12-24,2016-12-21,not_planned,823dc56e-f987-495c-98bf-43318719e30f,369469
"VIS - Fishes in estuarine waters in Flanders, Belgium",vis-estuarine-occurrences,https://doi.org/10.15468/estwpt,INBO,occurrence,2014-04-02,2016-12-21,not_planned,274a36be-0626-41c1-a757-3064e05811a4,51761
"Red list of dragonflies in Flanders, Belgium",rl-libellen-checklist,https://doi.org/10.15468/wgegyc,INBO,checklist,2014-05-06,2017-02-13,not_planned,72aa797d-42a4-4176-9e19-5b3ddd551b79,0
Bird tracking - GPS tracking of Lesser Black-backed Gulls and Herring Gulls breeding at the southern North Sea coast,bird-tracking-gull-occurrences,https://doi.org/10.15468/02omly,INBO,occurrence,2014-07-17,2017-04-26,biannually,83e20573-f7dd-4852-9159-21566e1e691e,8474604
"Watervogels - Wintering waterbirds in Flanders, Belgium",watervogels-occurrences,https://doi.org/10.15468/lj0udq,INBO,occurrence,2014-11-27,2018-02-15,annually,7f9eb622-c036-44c6-8be9-5793eaa1fa1e,681444
Broedvogels - Atlas of the breeding birds in Flanders 2000-2002,broedvogel-atlas-occurrences,https://doi.org/10.15468/sccg5a,INBO,occurrence,2015-05-06,2015-10-14,,81c5a091-6e94-40db-a2a4-48f4de42d410,330046
